0,1,2,3,4,5,6,7,8,9,10,11,12
時間,約定,銘柄,タイプ,新規・決済,数量,価格,注文,手数料,スワップ,損益,残高,コメント
2021.01.04 10:46:40,2,EURUSD,sell,in,0.1,1.22811,2,-0.70,0.00,0.00,9 999.30,
2021.01.06 18:00:00,3,EURUSD,buy,out,0.1,1.22824,3,0.00,0.38,-1.30,9 998.38,
2021.01.06 18:18:20,4,EURUSD,buy,in,0.1,1.22770,4,-0.70,0.00,0.00,9 997.68,
2021.01.08 15:45:00,5,EURUSD,sell,out,0.1,1.22715,5,0.00,-4.09,-5.50,9 988.09,
2021.01.08 15:45:05,6,EURUSD,sell,in,0.1,1.22712,6,-0.70,0.00,0.00,9 987.39,
2021.01.11 01:45:00,7,EURUSD,buy,out,0.1,1.21874,7,0.00,0.19,83.80,10 071.38,
2021.01.11 01:45:28,8,EURUSD,buy,in,0.1,1.21891,8,-0.70,0.00,0.00,10 070.68,
2021.01.12 20:45:00,9,EURUSD,sell,out,0.1,1.21886,9,0.00,-0.68,-0.50,10 069.50,
2021.01.12 20:45:18,10,EURUSD,sell,in,0.1,1.21879,10,-0.70,0.00,0.00,10 068.80,
2021.01.13 11:15:00,11,EURUSD,buy,out,0.1,1.21840,11,0.00,0.19,3.90,10 072.89,
2021.01.13 11:15:38,12,EURUSD,buy,in,0.1,1.21863,12,-0.70,0.00,0.00,10 072.19,
2021.01.19 02:45:00,13,EURUSD,sell,out,0.1,1.20878,13,0.00,-5.45,-98.50,9 968.24,
2021.01.19 02:45:35,14,EURUSD,sell,in,0.1,1.20871,14,-0.70,0.00,0.00,9 967.54,
2021.01.20 14:00:00,15,EURUSD,buy,out,0.1,1.21120,15,0.00,0.19,-24.90,9 942.83,
2021.01.20 14:00:02,16,EURUSD,buy,in,0.1,1.21125,16,-0.70,0.00,0.00,9 942.13,
2021.01.21 03:15:00,17,EURUSD,sell,out,0.1,1.21277,17,0.00,-3.41,15.20,9 953.92,
2021.01.21 03:15:04,18,EURUSD,sell,in,0.1,1.21274,18,-0.70,0.00,0.00,9 953.22,
